y	x	x1	x2	tt	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Confidence
9410.22483526751	6830	6828	6832	1707.25	53	Spectrogram	1	1708.75	1705.75	0	8000	9410.22483526751
9401.56168803569	6360	6358	6361	1589.75	54	Spectrogram	1	1591.25	1588.25	0	8000	9401.56168803569
9375.6200692588	4960	4958	4962	1239.75	55	Spectrogram	1	1241.25	1238.25	0	8000	9375.6200692588
9375.6200692588	7383	7381	7386	1845.5	56	Spectrogram	1	1847	1844	0	8000	9375.6200692588
9366.98877952116	234	233	236	58.25	57	Spectrogram	1	59.75	56.75	0	8000	9366.98877952116
9358.3654358353	296	295	298	73.75	58	Spectrogram	1	75.25	72.25	0	8000	9358.3654358353
9341.14255736479	9702	9701	9706	2425.25	59	Spectrogram	1	2426.75	2423.75	0	8000	9341.14255736479
9315.36765238574	7709	7706	7711	1927	60	Spectrogram	1	1928.5	1925.5	0	8000	9315.36765238574
9306.79183162653	7828	7825	7829	1956.75	61	Spectrogram	1	1958.25	1955.25	0	8000	9306.79183162653
9298.22390585381	2180	2178	2181	544.75	62	Spectrogram	1	546.25	543.25	0	8000	9298.22390585381
9298.22390585381	5273	5272	5276	1318	63	Spectrogram	1	1319.5	1316.5	0	8000	9298.22390585381
9289.66386779936	7497	7495	7498	1874	64	Spectrogram	1	1875.5	1872.5	0	8000	9289.66386779936
9246.98173938223	3323	3322	3328	830.5	65	Spectrogram	1	832	829	0	8000	9246.98173938223
9246.98173938223	4601	4600	4604	1150	66	Spectrogram	1	1151.5	1148.5	0	8000	9246.98173938223
9246.98173938223	4824	4821	4826	1205.75	67	Spectrogram	1	1207.25	1204.25	0	8000	9246.98173938223
9238.46887537945	7879	7878	7881	1969.5	68	Spectrogram	1	1971	1968	0	8000	9238.46887537945
9204.49571753171	2688	2687	2691	671.75	69	Spectrogram	1	673.25	670.25	0	8000	9204.49571753171
9187.55601666063	2604	2603	2607	650.75	70	Spectrogram	1	652.25	649.25	0	8000	9187.55601666063
9170.64749114932	92	90	93	22.75	71	Spectrogram	1	24.25	21.25	0	8000	9170.64749114932
9170.64749114932	8931	8929	8932	2232.5	72	Spectrogram	1	2234	2231	0	8000	9170.64749114932
9120.1083935591	7357	7354	7359	1839	73	Spectrogram	1	1840.5	1837.5	0	8000	9120.1083935591
9111.71233042919	73	72	75	18	74	Spectrogram	1	19.5	16.5	0	8000	9111.71233042919
9094.94338555296	6287	6286	6290	1571.5	75	Spectrogram	1	1573	1570	0	8000	9094.94338555296
9086.57048958146	2134	2132	2136	533.25	76	Spectrogram	1	534.75	531.75	0	8000	9086.57048958146
9019.86422073745	9434	9430	9435	2358.25	77	Spectrogram	1	2359.75	2356.75	0	8000	9019.86422073745
8970.15608414814	9504	9502	9506	2375.75	78	Spectrogram	1	2377.25	2374.25	0	8000	8970.15608414814
8937.16960850198	6649	6648	6651	1662	79	Spectrogram	1	1663.5	1660.5	0	8000	8937.16960850198
8887.9171988482	1158	1156	1160	289.25	80	Spectrogram	1	290.75	287.75	0	8000	8887.9171988482
8887.9171988482	9693	9690	9694	2423	81	Spectrogram	1	2424.5	2421.5	0	8000	8887.9171988482
8879.73489325766	2909	2906	2910	727	82	Spectrogram	1	728.5	725.5	0	8000	8879.73489325766
8871.56012037961	804	803	805	200.75	83	Spectrogram	1	202.25	199.25	0	8000	8871.56012037961
8863.39287327934	3602	3599	3605	900.25	84	Spectrogram	1	901.75	898.75	0	8000	8863.39287327934
8863.39287327934	5197	5195	5198	1299	85	Spectrogram	1	1300.5	1297.5	0	8000	8863.39287327934
8806.43228418064	570	569	571	142.25	86	Spectrogram	1	143.75	140.75	0	8000	8806.43228418064
8790.22516830884	7846	7845	7848	1961.25	87	Spectrogram	1	1962.75	1959.75	0	8000	8790.22516830884
8733.7347914232	6568	6565	6569	1641.75	88	Spectrogram	1	1643.25	1640.25	0	8000	8733.7347914232
8717.66146601849	6492	6490	6494	1622.75	89	Spectrogram	1	1624.25	1621.25	0	8000	8717.66146601849
8693.60692509416	3036	3035	3038	758.75	90	Spectrogram	1	760.25	757.25	0	8000	8693.60692509416
8661.63741972304	9326	9325	9327	2331.25	91	Spectrogram	1	2332.75	2329.75	0	8000	8661.63741972304
8653.66342956348	6197	6194	6199	1549	92	Spectrogram	1	1550.5	1547.5	0	8000	8653.66342956348
8621.84081072701	1840	1838	1843	459.75	93	Spectrogram	1	461.25	458.25	0	8000	8621.84081072701
8558.54621220824	9451	9449	9453	2362.5	94	Spectrogram	1	2364	2361	0	8000	8558.54621220824
8487.89503007244	9123	9122	9127	2280.5	95	Spectrogram	1	2282	2279	0	8000	8487.89503007244
8480.08098889692	2845	2841	2847	711	96	Spectrogram	1	712.5	709.5	0	8000	8480.08098889692
8410.07754069233	588	585	591	146.75	97	Spectrogram	1	148.25	145.25	0	8000	8410.07754069233
8410.07754069233	5251	5249	5253	1312.5	98	Spectrogram	1	1314	1311	0	8000	8410.07754069233
8371.43674435155	1806	1803	1807	451.25	99	Spectrogram	1	452.75	449.75	0	8000	8371.43674435155
8363.72991584026	57	55	59	14	100	Spectrogram	1	15.5	12.5	0	8000	8363.72991584026
8356.03018231248	6408	6406	6410	1601.75	101	Spectrogram	1	1603.25	1600.25	0	8000	8356.03018231248
